D_lvot,D_an,D_sinus,D_stj,AVA,angle,ratio_lvot_over_an_area,H_sinus
21.93768698,21.90530357,29.25673893,27.88640321,57.90261901,16.54132483,1.002958858,22
22.6538652,22.51265516,28.61703021,27.13659965,56.11593069,16.15621952,1.012584292,20.5
26.89787897,25.06624079,32.02248458,28.57341777,37.10055424,28.72628131,1.151483331,23
25.75705691,25.51289117,35.09472912,31.72998686,54.51994588,34.67424572,1.019232168,24.5
22.11650006,22.85634721,30.81176405,27.91334895,39.83278451,22.51744166,0.936308902,23
27.30445289,28.46684742,40.95573897,34.57824682,81.45215264,27.30802499,0.920000811,30
23.9336976,24.64707115,33.45142353,31.37626672,79.28905847,23.59405037,0.942950643,22
23.4850862,24.72915292,34.56088389,30.25416581,69.33827901,21.78108876,0.901915471,29
28.70489401,28.62321004,34.34309905,29.3354483,100.4611933,32.88477086,1.005715678,22.5
29.43222645,26.54799403,35.54225742,32.11275807,73.44984985,29.58058474,1.229087523,24
21.54609964,23.27629563,34.06496101,31.80176247,32.26438314,32.64538731,0.856859466,24
22.25031091,22.71891091,29.79224558,28.02129701,51.19538514,30.32505284,0.959173454,21.5
28.21106519,27.32786005,32.79169016,31.70539571,61.72022246,20.44195457,1.065682218,23.5
24.12862924,24.26708356,32.38655384,27.83057846,117.5796194,22.1775316,0.988621678,26.5
20.97675558,23.71049847,31.72439673,31.29043807,29.87187231,26.56951855,0.782699879,19.5
22.84993521,24.30366675,32.04741445,30.3716115,59.99351198,25.14908322,0.883947238,22
21.16286034,21.38697161,26.83271859,24.86164077,69.01798424,18.25334164,0.979152069,21.5
29.50134065,29.22104777,37.00267752,34.82127772,105.7123502,34.89310856,1.019276323,25.5
25.36399416,25.12828987,32.32431797,30.1483852,78.88378066,32.2242403,1.018848059,22
24.07836952,24.80337287,31.8086535,29.11685774,40.601043,21.3515068,0.942394333,23
21.34426869,22.33196712,31.04619537,29.92180835,70.55606456,13.4526515,0.9135001,20.5
22.30601659,23.46099392,33.22448932,29.77322786,68.84085971,17.19531565,0.903964193,25.5
22.63426428,23.11574397,28.85209333,27.87842215,35.60939091,27.8740037,0.95877569,20
23.64213899,23.95553705,32.12310004,28.34468417,103.2392832,37.79019965,0.974006172,26.5
23.85517633,23.31994646,30.17292944,25.6189483,26.62391271,25.14226452,1.046429957,25
23.61155368,24.15241887,34.73153573,30.00067889,76.37301495,16.73099847,0.955713821,28
21.12001899,21.43648253,30.85762023,27.68288913,44.7856126,31.75024069,0.970692245,25.5
27.52569776,26.18875825,33.57351448,27.5792466,62.30263258,23.95886757,1.104706375,28
23.33382032,24.27328741,31.16418631,28.33144575,38.57421706,30.8478335,0.924090492,23.5
23.52542341,23.41384358,28.60882629,28.42598793,54.51455597,26.89146446,1.009553809,22
20.91174707,23.31206083,32.5499284,30.66841929,56.69096045,26.49063943,0.80467276,25
